season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4259269,Chris Reynolds,QB,Charlotte,Conference USA,399,0.454,0.462,0.411,0.307,0.372,0.632,0.397,0.55,181.241,155.788,25.452,51.864,42.386,62.585,98.787,82.454
2021,4035776,Kendric Pryor,WR,Wisconsin,Big Ten,50,0.455,0.494,0.219,0.386,0.37,0.8,0.465,0.434,22.765,21.229,1.536,9.265,6.296,7.204,15.82,6.945
2021,4427209,Jeff Foreman,WR,Arkansas State,Sun Belt,27,0.455,0.455,,0.005,0.873,0.584,0.471,0.432,12.29,12.29,,0.049,6.983,5.257,7.534,4.756
2021,4360603,Brandon Robinson,WR,Florida Atlantic,Conference USA,33,0.456,0.456,,0.53,0.161,1.052,0.71,0.152,15.058,15.058,,6.366,1.453,10.516,12.773,2.285
2021,4040835,Jake Molinich,TE,Buffalo,Mid-American,7,0.457,0.262,1.625,-0.264,1.392,-0.419,0.209,0.788,3.2,1.575,1.625,-0.791,2.784,-0.419,0.835,2.365
2021,4259147,Jake Tonges,TE,California,Pac-12,29,0.458,0.458,,0.471,0.414,0.208,0.5,0.349,13.292,13.292,,4.707,4.138,1.661,10.501,2.791
2021,4038809,Jake Bentley,QB,South Alabama,Sun Belt,232,0.458,0.436,0.796,0.104,0.384,1.101,0.246,0.769,106.181,95.038,11.143,9.768,27.658,61.647,33.916,72.265
2021,4240703,Kenny Pickett,QB,Pittsburgh,ACC,557,0.458,0.445,0.549,0.297,0.397,0.754,0.379,0.608,255.041,217.69,37.35,69.512,67.881,100.988,138.326,116.715
2021,4371977,Shaun Shivers,RB,Auburn,SEC,39,0.459,0.342,0.668,0.481,-0.067,0.682,0.467,0.449,17.889,8.539,9.35,4.328,-0.809,10.912,9.35,8.539
2021,4685720,Bryce Young,QB,Alabama,SEC,625,0.46,0.457,0.507,0.164,0.415,0.896,0.286,0.692,287.446,266.162,21.285,35.398,97.995,149.634,102.05,185.396
2021,4260394,Aidan O'Connell,QB,Purdue,Big Ten,447,0.46,0.455,0.813,0.312,0.395,0.852,0.319,0.674,205.704,200.01,5.694,52.776,67.524,86.024,85.762,119.942
2021,4361994,Sam Hartman,QB,Wake Forest,ACC,588,0.461,0.435,0.634,0.258,0.215,1.041,0.344,0.644,271.298,221.229,50.069,60.063,40.609,162.353,123.21,148.088
2021,4572366,Andrew Brito,QB,UCF,American Athletic,5,0.461,0.331,0.657,0.694,-0.694,0.92,0.347,0.92,2.307,0.994,1.313,2.081,-0.694,0.92,1.387,0.92
